Title,human_beta,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
Non-Destructive Testing Specialists,0.25,"Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,Scientific research and development,Manufacture of basic metals,1,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
Locomotive Engineers,0.233333333333333,Civil engineering,Manufacture of other transport equipment,Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,1,Land transport and transport via pipelines,Land transport and transport via pipelines
Medical Transcriptionists,0.233333333333333,Telecommunications,"Other professional, scientific and technical activities",Scientific research and development,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1,Human health activities,Human health activities
"Dentists, General",0.225,"Other professional, scientific and technical activities",Veterinary activities,Legal and accounting activities,Activities of head offices; management consultancy activities,1,Human health activities,Human health activities
Automotive Engineering Technicians,0.222222222222222,Civil engineering,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,Wholesale and retail trade and repair of motor vehicles and motorcycles,1,"Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers"
Aerospace Engineering and Operations Technologists and Technicians,0.208333333333333,Civil engineering,"Other professional, scientific and technical activities",Manufacture of machinery and equipment n.e.c.,Architectural and engineering activities; technical testing and analysis,1,Manufacture of other transport equipment,Manufacture of other transport equipment
Subway and Streetcar Operators,0.208333333333333,"Travel agency, tour operator and other reservation service and related activities",Air transport,Warehousing and support activities for transportation,Manufacture of electrical equipment,1,Land transport and transport via pipelines,Land transport and transport via pipelines
Railroad Conductors and Yardmasters,0.204545454545454,Civil engineering,Employment activities,Manufacture of electrical equipment,Repair and installation of machinery and equipment,1,Land transport and transport via pipelines,Land transport and transport via pipelines
Orthodontists,0.2,"Other professional, scientific and technical activities",Specialised construction activities,Scientific research and development,Telecommunications,1,Human health activities,Human health activities
Pest Control Workers,0.199999999999999,Activities of households as employers of domestic personnel,Veterinary activities,"Crop and animal production, hunting and related service activities",Repair and installation of machinery and equipment,1,Services to buildings and landscape activities,Services to buildings and landscape activities
Computer Numerically Controlled Tool Operators,0.185185185185185,Specialised construction activities,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,"Computer programming, consultancy and related activities",1,Manufacture of machinery and equipment n.e.c.,Manufacture of machinery and equipment n.e.c.
Stockers and Order Fillers,0.183333333333333,Other manufacturing,Warehousing and support activities for transportation,Advertising and market research,"Office administrative, office support and other business support activities",1,Warehousing and support activities for transportation,Warehousing and support activities for transportation
Photographic Process Workers and Processing Machine Operators,0.15625,Printing and reproduction of recorded media,Other manufacturing,Manufacture of machinery and equipment n.e.c.,Repair and installation of machinery and equipment,1,Printing and reproduction of recorded media,Printing and reproduction of recorded media
Medical Assistants,0.15,Education,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,Human health activities,1,Human health activities,Human health activities
"Pump Operators, Except Wellhead Pumpers",0.142857142857142,Land transport and transport via pipelines,Extraction of crude petroleum and natural gas,"Electricity, gas, steam and air conditioning supply","Manufacture of fabricated metal products, except machinery and equipment",1,"Water collection, treatment and supply","Water collection, treatment and supply"
Parking Attendants,0.138888888888888,"Travel agency, tour operator and other reservation service and related activities",Other personal service activities,Rental and leasing activities,Warehousing and support activities for transportation,1,Land transport and transport via pipelines,Land transport and transport via pipelines
Bridge and Lock Tenders,0.138888888888888,"Manufacture of motor vehicles, trailers and semi-trailers",Specialised construction activities,Sewerage,Manufacture of machinery and equipment n.e.c.,1,Water transport,Water transport
Machinists,0.137931034482758,Other manufacturing,Specialised construction activities,Activities of extraterritorial organisations and bodies,Manufacture of machinery and equipment n.e.c.,1,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, except machinery and equipment"
"Explosives Workers, Ordnance Handling Experts, and Blasters",0.133333333333333,Security and investigation activities,Specialised construction activities,Activities of extraterritorial organisations and bodies,Manufacture of chemicals and chemical products,1,Other mining and quarrying,Other mining and quarrying
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.133333333333333,Other personal service activities,Activities auxiliary to financial services and insurance activities,Sports activities and amusement and recreation activities,"Travel agency, tour operator and other reservation service and related activities",1,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities
"Service Unit Operators, Oil and Gas",0.131578947368421,"Travel agency, tour operator and other reservation service and related activities","Office administrative, office support and other business support activities","Electricity, gas, steam and air conditioning supply",Extraction of crude petroleum and natural gas,1,Extraction of crude petroleum and natural gas,Extraction of crude petroleum and natural gas
Conveyor Operators and Tenders,0.130434782608695,"Wholesale trade, except of motor vehicles and motorcycles",Manufacture of other transport equipment,Postal and courier activities,Repair and installation of machinery and equipment,1,Manufacture of other non-metallic mineral products,Manufacture of other non-metallic mineral products
Nurse Anesthetists,0.125,Accommodation,"Other professional, scientific and technical activities",Human health activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1,Human health activities,Human health activities
Physician Assistants,0.125,Education,Other personal service activities,Activities of head offices; management consultancy activities,Human health activities,1,Human health activities,Human health activities
Motorboat Operators,0.117647058823529,Fishing and aquaculture,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Manufacture of motor vehicles, trailers and semi-trailers",Water transport,1,Water transport,Water transport
"Glass Blowers, Molders, Benders, and Finishers",0.105263157894736,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Repair and installation of machinery and equipment,Manufacture of beverages,Manufacture of furniture,1,Manufacture of other non-metallic mineral products,Manufacture of other non-metallic mineral products
"Insulation Workers, Floor, Ceiling, and Wall",0.1,Civil engineering,Specialised construction activities,Construction of buildings,"Electricity, gas, steam and air conditioning supply",1,Specialised construction activities,Specialised construction activities
Automotive and Watercraft Service Attendants,0.1,Food and beverage service activities,Other personal service activities,Water transport,"Water collection, treatment and supply",1,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment
Dental Assistants,0.09375,Education,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,Veterinary activities,1,Human health activities,Human health activities
Prosthodontists,0.0909090909090909,Manufacture of leather and related products,"Other professional, scientific and technical activities",Scientific research and development,Manufacture of machinery and equipment n.e.c.,1,Human health activities,Human health activities
"Morticians, Undertakers, and Funeral Arrangers",0.0909090909090909,"Motion picture, video and television programme production, sound recording and music publishing activities","Office administrative, office support and other business support activities",Activities of extraterritorial organisations and bodies,"Waste collection, treatment and disposal activities; materials recovery",1,Other personal service activities,Other personal service activities
Carpenters,0.0862068965517241,Civil engineering,Specialised construction activities,Manufacture of furniture,Manufacture of machinery and equipment n.e.c.,1,Construction of buildings,Construction of buildings
"Packers and Packagers, Hand",0.0833333333333333,Warehousing and support activities for transportation,Other manufacturing,Repair and installation of machinery and equipment,Postal and courier activities,1,Manufacture of food products,Manufacture of food products
Biomass Plant Technicians,0.0833333333333333,Forestry and logging,Mining of coal and lignite,Manufacture of tobacco products,Manufacture of machinery and equipment n.e.c.,1,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply"
Firefighters,0.0833333333333333,Security and investigation activities,Air transport,Forestry and logging,"Electricity, gas, steam and air conditioning supply",1,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.0789473684210526,"Manufacture of fabricated metal products, except machinery and equipment",Repair and installation of machinery and equipment,Manufacture of rubber and plastic products,Manufacture of machinery and equipment n.e.c.,1,Manufacture of basic metals,Manufacture of basic metals
Barbers,0.075,Sewerage,Other personal service activities,Veterinary activities,Repair and installation of machinery and equipment,1,Other personal service activities,Other personal service activities
Oral and Maxillofacial Surgeons,0.0714285714285714,Activities of head offices; management consultancy activities,Specialised construction activities,"Other professional, scientific and technical activities",Veterinary activities,1,Human health activities,Human health activities
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.0714285714285714,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of furniture,Manufacture of textiles,Manufacture of machinery and equipment n.e.c.,1,Manufacture of rubber and plastic products,Manufacture of rubber and plastic products
"Tailors, Dressmakers, and Custom Sewers",0.0681818181818181,Sewerage,Specialised construction activities,Manufacture of wearing apparel,Manufacture of textiles,1,Manufacture of wearing apparel,Manufacture of wearing apparel
Manicurists and Pedicurists,0.0555555555555555,Activities of households as employers of domestic personnel,"Other professional, scientific and technical activities",Activities of extraterritorial organisations and bodies,Manufacture of machinery and equipment n.e.c.,1,Other personal service activities,Other personal service activities
"Grinding and Polishing Workers, Hand",0.05,Other mining and quarrying,Mining of metal ores,Manufacture of wearing apparel,Repair and installation of machinery and equipment,1,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, except machinery and equipment"
"Hairdressers, Hairstylists, and Cosmetologists",0.0434782608695652,Activities of households as employers of domestic personnel,"Other professional, scientific and technical activities",Manufacture of wearing apparel,Manufacture of furniture,1,Other personal service activities,Other personal service activities
Butchers and Meat Cutters,0.0416666666666666,Other manufacturing,Fishing and aquaculture,Manufacture of food products,"Crop and animal production, hunting and related service activities",1,Manufacture of food products,Manufacture of food products
"Painting, Coating, and Decorating Workers",0.0384615384615384,Manufacture of paper and paper products,Specialised construction activities,Manufacture of wearing apparel,Repair and installation of machinery and equipment,1,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, except machinery and equipment"
Glaziers,0.037037037037037,Manufacture of rubber and plastic products,Specialised construction activities,Scientific research and development,Manufacture of machinery and equipment n.e.c.,1,Specialised construction activities,Specialised construction activities
Riggers,0.0357142857142857,Fishing and aquaculture,Repair and installation of machinery and equipment,Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,1,Specialised construction activities,Specialised construction activities
"Welders, Cutters, Solderers, and Brazers",0.0333333333333333,"Manufacture of fabricated metal products, except machinery and equipment",Specialised construction activities,Manufacture of wearing apparel,Repair and installation of machinery and equipment,1,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, except machinery and equipment"
Medical Equipment Preparers,0.03125,Manufacture of machinery and equipment n.e.c.,Repair and installation of machinery and equipment,"Other professional, scientific and technical activities",Human health activities,1,Human health activities,Human health activities
Fence Erectors,0.025,Construction of buildings,Specialised construction activities,Sewerage,Services to buildings and landscape activities,1,Specialised construction activities,Specialised construction activities
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.0166666666666666,"Manufacture of fabricated metal products, except machinery and equipment",Architectural and engineering activities; technical testing and analysis,Repair and installation of machinery and equipment,Air transport,1,Manufacture of other transport equipment,Manufacture of other transport equipment
Wellhead Pumpers,0.0,Sewerage,Extraction of crude petroleum and natural gas,Manufacture of beverages,"Water collection, treatment and supply",1,Extraction of crude petroleum and natural gas,Extraction of crude petroleum and natural gas
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0.0,Services to buildings and landscape activities,Specialised construction activities,Manufacture of paper and paper products,Construction of buildings,1,Specialised construction activities,Specialised construction activities
"Cutters and Trimmers, Hand",0.0,Other manufacturing,Forestry and logging,Manufacture of wearing apparel,Repair and installation of machinery and equipment,1,Manufacture of textiles,Manufacture of textiles
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0,"Manufacture of fabricated metal products, except machinery and equipment",Specialised construction activities,Manufacture of machinery and equipment n.e.c.,Repair and installation of machinery and equipment,1,Manufacture of machinery and equipment n.e.c.,Manufacture of machinery and equipment n.e.c.
"Paving, Surfacing, and Tamping Equipment Operators",0.0,Manufacture of other transport equipment,Specialised construction activities,Manufacture of machinery and equipment n.e.c.,Remediation activities and other waste management services,1,Civil engineering,Civil engineering
Pile Driver Operators,0.0,Warehousing and support activities for transportation,Specialised construction activities,"Manufacture of motor vehicles, trailers and semi-trailers",Mining support service activities,1,Civil engineering,Civil engineering
Survey Researchers,0.84375,Advertising and market research,Advertising and market research,Scientific research and development,Information service activities,2,,Advertising and market research
Public Relations Specialists,0.805555555555555,Activities of head offices; management consultancy activities,Advertising and market research,Information service activities,Activities of head offices; management consultancy activities,2,,Activities of head offices; management consultancy activities
Legal Secretaries and Administrative Assistants,0.75,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,Legal and accounting activities,2,,"Office administrative, office support and other business support activities"
"Poets, Lyricists and Creative Writers",0.75,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities",Publishing activities,2,,"Creative, arts and entertainment activities"
Executive Secretaries and Executive Administrative Assistants,0.727272727272727,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities","Office administrative, office support and other business support activities","Office administrative, office support and other business support activities",2,,"Office administrative, office support and other business support activities"
"Environmental Scientists and Specialists, Including Health",0.727272727272727,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Human health activities,2,,"Other professional, scientific and technical activities"
Brokerage Clerks,0.7,Real estate activities,Real estate activities,Real estate activities,Legal and accounting activities,2,,Real estate activities
Data Warehousing Specialists,0.694444444444444,Warehousing and support activities for transportation,Warehousing and support activities for transportation,Warehousing and support activities for transportation,Information service activities,2,,Warehousing and support activities for transportation
Logistics Engineers,0.683333333333333,Civil engineering,Warehousing and support activities for transportation,Manufacture of other transport equipment,Warehousing and support activities for transportation,2,,Warehousing and support activities for transportation
Sustainability Specialists,0.678571428571428,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Specialised construction activities,Human health activities,2,,"Other professional, scientific and technical activities"
"Family and Consumer Sciences Teachers, Postsecondary",0.67391304347826,Education,Education,Scientific research and development,Activities of households as employers of domestic personnel,2,,Education
Credit Counselors,0.67391304347826,"Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding",2,,"Financial service activities, except insurance and pension funding"
Computer User Support Specialists,0.65625,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2,,"Office administrative, office support and other business support activities"
Regulatory Affairs Specialists,0.65625,Telecommunications,Legal and accounting activities,Legal and accounting activities,Information service activities,2,,Legal and accounting activities
Environmental Restoration Planners,0.652173913043478,Remediation activities and other waste management services,Services to buildings and landscape activities,Remediation activities and other waste management services,Services to buildings and landscape activities,2,,Remediation activities and other waste management services
Automotive Engineers,0.64,Civil engineering,"Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers",Wholesale and retail trade and repair of motor vehicles and motorcycles,2,,"Manufacture of motor vehicles, trailers and semi-trailers"
"News Analysts, Reporters, and Journalists",0.633333333333333,"Other professional, scientific and technical activities",Programming and broadcasting activities,Publishing activities,Programming and broadcasting activities,2,,Programming and broadcasting activities
Technical Writers,0.633333333333333,"Other professional, scientific and technical activities",Publishing activities,Publishing activities,Manufacture of machinery and equipment n.e.c.,2,,Publishing activities
Physicists,0.633333333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2,,"Other professional, scientific and technical activities"
Bioinformatics Technicians,0.631578947368421,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2,,"Other professional, scientific and technical activities"
Genetic Counselors,0.631578947368421,Education,"Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2,,Scientific research and development
Soil and Plant Scientists,0.629629629629629,"Other professional, scientific and technical activities","Crop and animal production, hunting and related service activities",Scientific research and development,Scientific research and development,2,,Scientific research and development
Operations Research Analysts,0.625,"Other professional, scientific and technical activities",Activities of head offices; management consultancy activities,Security and investigation activities,Activities of head offices; management consultancy activities,2,,Activities of head offices; management consultancy activities
Information Security Engineers,0.625,Civil engineering,Security and investigation activities,Security and investigation activities,Information service activities,2,,Security and investigation activities
