task_name,pct,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
"prepare project status reports by collecting, analyzing, and summarizing information and trends.",0.0212375083060807,Publishing activities,Architectural and engineering activities; technical testing and analysis,Specialised construction activities,Advertising and market research,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
"prepare reports of activities, evaluations, recommendations, or decisions.",0.0067751560240257,Publishing activities,"Other professional, scientific and technical activities",Activities of head offices; management consultancy activities,Information service activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
prepare requests for proposals or statements of work.,0.0022149548540084,Scientific research and development,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",Employment activities,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
recommend changes that could improve service and increase operational efficiency.,0.0277520814061054,Mining support service activities,Activities of head offices; management consultancy activities,Other personal service activities,"Creative, arts and entertainment activities",1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
synthesize current business intelligence or trend data to support recommendations for action.,0.077914294276296,Information service activities,Mining support service activities,"Office administrative, office support and other business support activities",Advertising and market research,1.0,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
develop strategies to encourage new or increased contributions.,0.0050813670180193,Scientific research and development,Information service activities,"Other professional, scientific and technical activities","Creative, arts and entertainment activities",1.0,Activities of membership organisations,Activities of membership organisations
"organize or engage in interfaith, community, civic, educational, or recreational activities sponsored by or related to religious programs.",0.0026058292400099,Residential care activities,"Creative, arts and entertainment activities","Libraries, archives, museums and other cultural activities",Other personal service activities,1.0,Activities of membership organisations,Activities of membership organisations
prepare and deliver sermons or other talks.,0.0280126643301064,Publishing activities,Other personal service activities,Education,Programming and broadcasting activities,1.0,Activities of membership organisations,Activities of membership organisations
prepare people for participation in religious ceremonies.,0.010814191346041,Food and beverage service activities,Human health activities,"Libraries, archives, museums and other cultural activities","Travel agency, tour operator and other reservation service and related activities",1.0,Activities of membership organisations,Activities of membership organisations
"study and interpret religious laws, doctrines, or traditions.",0.0067751560240257,Education,"Other professional, scientific and technical activities",Legal and accounting activities,Advertising and market research,1.0,Activities of membership organisations,Activities of membership organisations
write and send letters of thanks to donors.,0.0048207840940183,"Financial service activities, except insurance and pension funding",Other personal service activities,Publishing activities,"Office administrative, office support and other business support activities",1.0,Activities of membership organisations,Activities of membership organisations
"attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, environmental regulations, or industry developments.",0.012117105966046,Warehousing and support activities for transportation,Information service activities,Advertising and market research,"Office administrative, office support and other business support activities",1.0,Advertising and market research,Advertising and market research
"deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",0.0080780706440306,Publishing activities,Other personal service activities,Information service activities,"Office administrative, office support and other business support activities",1.0,Advertising and market research,Advertising and market research
"develop new business by contacting potential clients, making sales presentations, and writing proposals.",0.0122473974280465,"Computer programming, consultancy and related activities",Real estate activities,Advertising and market research,"Office administrative, office support and other business support activities",1.0,Advertising and market research,Advertising and market research
"develop, implement, and evaluate methods of data collection, such as questionnaires or interviews.",0.0061236987140232,Scientific research and development,"Other professional, scientific and technical activities","Computer programming, consultancy and related activities",Information service activities,1.0,Advertising and market research,Advertising and market research
"evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",0.0052116584800198,"Financial service activities, except insurance and pension funding",Architectural and engineering activities; technical testing and analysis,Activities auxiliary to financial services and insurance activities,Advertising and market research,1.0,Advertising and market research,Advertising and market research
generate or identify sales leads for green products and technologies.,0.0022149548540084,"Wholesale trade, except of motor vehicles and motorcycles",Advertising and market research,Manufacture of food products,Scientific research and development,1.0,Advertising and market research,Advertising and market research
make promotional appearances at public or private events to represent their employers.,0.0022149548540084,"Creative, arts and entertainment activities",Employment activities,Advertising and market research,"Office administrative, office support and other business support activities",1.0,Advertising and market research,Advertising and market research
"write speeches, press releases, or other promotional materials to increase awareness of the causes, missions, or goals of organizations seeking funds.",0.0162864327500618,Publishing activities,Information service activities,Activities of membership organisations,Advertising and market research,1.0,Advertising and market research,Advertising and market research
plan and formulate flight activities and test schedules and prepare flight evaluation reports.,0.0078174877200297,"Travel agency, tour operator and other reservation service and related activities","Other professional, scientific and technical activities",Air transport,Architectural and engineering activities; technical testing and analysis,1.0,Air transport,Air transport
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",0.0080780706440306,"Computer programming, consultancy and related activities",Services to buildings and landscape activities,Specialised construction activities,Activities of head offices; management consultancy activities,1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
design plant or production layouts that minimize environmental impacts.,0.0031269950880118,Construction of buildings,Other manufacturing,Specialised construction activities,Services to buildings and landscape activities,1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
develop proposals that include documentation for estimates.,0.0101627340360386,Scientific research and development,Architectural and engineering activities; technical testing and analysis,Publishing activities,Information service activities,1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
draw up detailed specifications and discuss projects with customers.,0.0022149548540084,"Computer programming, consultancy and related activities",Architectural and engineering activities; technical testing and analysis,Specialised construction activities,"Office administrative, office support and other business support activities",1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
evaluate data and write reports to validate or indicate deviations from existing standards.,0.0042996182460163,Legal and accounting activities,"Other professional, scientific and technical activities",Scientific research and development,Remediation activities and other waste management services,1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
identify defects in solid materials using ultrasonic testing techniques.,0.0019543719300074,Manufacture of other non-metallic mineral products,Repair of computers and personal and household goods,Architectural and engineering activities; technical testing and analysis,Manufacture of chemicals and chemical products,1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
make recommendations to control or eliminate unsafe conditions at workplaces or public facilities.,0.0059934072520227,Human health activities,"Other professional, scientific and technical activities",Security and investigation activities,Remediation activities and other waste management services,1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
map the presence of imperfections within objects using sonic measurements.,0.0033875780120128,Printing and reproduction of recorded media,Civil engineering,"Motion picture, video and television programme production, sound recording and music publishing activities",Manufacture of chemicals and chemical products,1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
"operate testing equipment, such as heat stress meters, octave band analyzers, motion analysis equipment, inclinometers, light meters, velometers, sling psychrometers, or colormetric detection tubes.",0.0225404229260856,"Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,Manufacture of electrical equipment,Manufacture of chemicals and chemical products,1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
"prepare or direct preparation of correspondence, reports, and operations, maintenance, and safety manuals.",0.0169378900600643,Manufacture of machinery and equipment n.e.c.,"Office administrative, office support and other business support activities","Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,1.0,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
"become familiar with digging plans, machine capabilities and limitations, and with efficient and safe digging procedures in a given application.",0.0039087438600148,Other mining and quarrying,Civil engineering,Mining support service activities,Repair and installation of machinery and equipment,1.0,Civil engineering,Civil engineering
analyze user needs and recommend appropriate hardware.,0.0045602011700173,Repair of computers and personal and household goods,"Manufacture of computer, electronic and optical products","Computer programming, consultancy and related activities",Architectural and engineering activities; technical testing and analysis,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers.",0.037914815442144,Manufacture of machinery and equipment n.e.c.,Other manufacturing,"Manufacture of motor vehicles, trailers and semi-trailers","Office administrative, office support and other business support activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
communicate with staff or clients to understand specific system requirements.,0.0040390353220153,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities",Information service activities,Activities of head offices; management consultancy activities,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"compile or maintain records of system operation, performance, and maintenance.",0.0035178694740133,Repair of computers and personal and household goods,"Office administrative, office support and other business support activities",Manufacture of machinery and equipment n.e.c.,Repair and installation of machinery and equipment,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
conduct experimental or virtual studies to investigate characteristics and processing principles of potential microelectromechanical systems (mems) technology.,0.0229312973120871,"Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Scientific research and development,"Computer programming, consultancy and related activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems.",0.0229312973120871,Mining support service activities,"Electricity, gas, steam and air conditioning supply",Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"conduct research studies of physical work environments, organizational structures, communication systems, group interactions, morale, and motivation to assess organizational functioning.",0.0033875780120128,Employment activities,Activities of head offices; management consultancy activities,Activities of membership organisations,Architectural and engineering activities; technical testing and analysis,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"confer with staff, users, and management to establish requirements for new systems or modifications.",0.0049510755560188,Activities of membership organisations,"Office administrative, office support and other business support activities","Computer programming, consultancy and related activities",Activities of head offices; management consultancy activities,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
coordinate and link the computer systems within an organization to increase compatibility and so information can be shared.,0.0052116584800198,Architectural and engineering activities; technical testing and analysis,"Office administrative, office support and other business support activities",Information service activities,"Computer programming, consultancy and related activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"create sketches, profiles, or likenesses of posed subjects or photographs, using any combination of freehand drawing, mechanical assembly kits, and computer imaging.",0.024755377780094,Printing and reproduction of recorded media,"Motion picture, video and television programme production, sound recording and music publishing activities","Manufacture of computer, electronic and optical products","Computer programming, consultancy and related activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
define and compare possible radio frequency identification device (rfid) solutions to inform selection for specific projects.,0.0042996182460163,Manufacture of machinery and equipment n.e.c.,Scientific research and development,Programming and broadcasting activities,Advertising and market research,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"design databases to support business applications, ensuring system scalability, security, performance and reliability.",0.249508149730948,Warehousing and support activities for transportation,Mining support service activities,Information service activities,"Office administrative, office support and other business support activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"determine supplementary virtual features, such as currency, item catalog, menu design, and audio direction.",0.297064533361128,"Motion picture, video and television programme production, sound recording and music publishing activities",Architectural and engineering activities; technical testing and analysis,Activities auxiliary to financial services and insurance activities,Food and beverage service activities,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"develop data models for applications, metadata tables, views or related database structures.",0.0195437193000742,Scientific research and development,Architectural and engineering activities; technical testing and analysis,Information service activities,"Computer programming, consultancy and related activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
develop methods for integrating different products so they work properly together such as customizing commercial databases to fit specific needs.,0.0760902138082891,Wholesale and retail trade and repair of motor vehicles and motorcycles,Architectural and engineering activities; technical testing and analysis,Manufacture of food products,"Office administrative, office support and other business support activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"develop, present, or respond to proposals for specific customer requirements, including request for proposal responses and industry-specific solutions.",0.0222798400020846,Advertising and market research,"Computer programming, consultancy and related activities",Services to buildings and landscape activities,Activities of head offices; management consultancy activities,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
evaluate or recommend software for testing or bug tracking.,0.0138108949720524,Mining support service activities,Security and investigation activities,Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"gather, analyze, or document user feedback to locate or resolve sources of problems.",0.0036481609360138,"Other professional, scientific and technical activities",Mining support service activities,"Computer programming, consultancy and related activities",Advertising and market research,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
identify or maintain links to and from other web sites and check links to ensure proper functioning.,0.0102930254980391,Repair of computers and personal and household goods,Information service activities,Mining support service activities,"Computer programming, consultancy and related activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"implement business rules via stored procedures, middleware, or other technologies.",0.0190225534520722,Legal and accounting activities,Mining support service activities,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",2.51918541777957,Repair of computers and personal and household goods,Architectural and engineering activities; technical testing and analysis,Repair and installation of machinery and equipment,"Computer programming, consultancy and related activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
perform data backups and disaster recovery operations.,0.0096415681880366,Repair of computers and personal and household goods,"Office administrative, office support and other business support activities",Remediation activities and other waste management services,"Waste collection, treatment and disposal activities; materials recovery",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"perform ongoing hardware and software maintenance operations, including installing or upgrading hardware or software.",0.0085992364920326,Repair of computers and personal and household goods,"Office administrative, office support and other business support activities","Computer programming, consultancy and related activities",Repair and installation of machinery and equipment,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",0.0999335513543797,Repair of computers and personal and household goods,"Office administrative, office support and other business support activities","Computer programming, consultancy and related activities",Repair and installation of machinery and equipment,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
recommend new systems and processes to improve operations.,0.0070357389480267,Mining support service activities,Activities of head offices; management consultancy activities,Information service activities,Scientific research and development,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
resolve customer complaints or answer customers' questions regarding policies and procedures.,0.039217730062149,Repair of computers and personal and household goods,"Office administrative, office support and other business support activities",Information service activities,Activities of head offices; management consultancy activities,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",0.025015960704095,Repair of computers and personal and household goods,"Office administrative, office support and other business support activities",Activities auxiliary to financial services and insurance activities,Advertising and market research,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
retrieve information from central databases for storage in a library's computer.,0.0158955583640604,"Libraries, archives, museums and other cultural activities",Information service activities,"Computer programming, consultancy and related activities",Repair of computers and personal and household goods,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
troubleshoot network or connectivity problems for users or user groups.,0.113874737788432,Activities of membership organisations,Mining support service activities,Telecommunications,"Computer programming, consultancy and related activities",1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
write information in medical records or provide narrative summaries to communicate patient information to other health care providers.,0.0158955583640604,Publishing activities,"Other professional, scientific and technical activities",Information service activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.0,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities"
"determine materials, equipment, and installation sequences necessary to maximize installation efficiency.",0.0024755377780094,Repair and installation of machinery and equipment,Architectural and engineering activities; technical testing and analysis,Manufacture of electrical equipment,Warehousing and support activities for transportation,1.0,Construction of buildings,Construction of buildings
"develop or maintain cost estimates, forecasts, or cost models.",0.0221495485400841,"Other professional, scientific and technical activities","Office administrative, office support and other business support activities",Activities auxiliary to financial services and insurance activities,Information service activities,1.0,Construction of buildings,Construction of buildings
"monitor how the wind, heat, or cold affect the curing of the concrete throughout the entire process.",0.0280126643301064,Construction of buildings,Civil engineering,Specialised construction activities,Architectural and engineering activities; technical testing and analysis,1.0,Construction of buildings,Construction of buildings
wet concrete surface and rub with stone to smooth surface and obtain specified finish.,0.0031269950880118,Other mining and quarrying,Civil engineering,Specialised construction activities,Architectural and engineering activities; technical testing and analysis,1.0,Construction of buildings,Construction of buildings
"design and produce displays and materials that can be used to decorate windows, interior displays, or event locations such as streets and fairgrounds.",0.0044299097080168,Manufacture of furniture,Specialised construction activities,"Creative, arts and entertainment activities",Services to buildings and landscape activities,1.0,"Creative, arts and entertainment activities","Creative, arts and entertainment activities"
develop new styles and techniques.,0.0065145731000247,Scientific research and development,Education,"Creative, arts and entertainment activities",Other manufacturing,1.0,"Creative, arts and entertainment activities","Creative, arts and entertainment activities"
"edit graphics and photos, using pixel or bitmap editing, airbrushing, masking, or image retouching.",0.0045602011700173,"Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities","Manufacture of computer, electronic and optical products",Printing and reproduction of recorded media,1.0,"Creative, arts and entertainment activities","Creative, arts and entertainment activities"
read prepared scripts describing acts or tricks presented during performances.,0.0027361207020103,"Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities","Computer programming, consultancy and related activities","Travel agency, tour operator and other reservation service and related activities",1.0,"Creative, arts and entertainment activities","Creative, arts and entertainment activities"
resolve customer complaints regarding problems such as payout errors.,0.0085992364920326,Repair of computers and personal and household goods,Activities auxiliary to financial services and insurance activities,Remediation activities and other waste management services,Activities of head offices; management consultancy activities,1.0,"Creative, arts and entertainment activities","Creative, arts and entertainment activities"
"respond to user email inquiries, or set up automated systems to send responses.",0.0020846633920079,No response,Mining support service activities,Information service activities,"Office administrative, office support and other business support activities",1.0,"Creative, arts and entertainment activities","Creative, arts and entertainment activities"
"study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed.",0.0198043022240752,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Computer programming, consultancy and related activities",Architectural and engineering activities; technical testing and analysis,1.0,"Creative, arts and entertainment activities","Creative, arts and entertainment activities"
devise cultural methods or environmental controls for plants for which guidelines are sketchy or nonexistent.,0.0022149548540084,"Crop and animal production, hunting and related service activities","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Services to buildings and landscape activities,Remediation activities and other waste management services,1.0,"Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities"
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.196349233234746,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Electricity, gas, steam and air conditioning supply",Scientific research and development,"Manufacture of computer, electronic and optical products",1.0,Education,Education
"advise teaching and administrative staff in curriculum development, use of materials and equipment, and implementation of state and federal programs and procedures.",0.0024755377780094,"Other professional, scientific and technical activities","Office administrative, office support and other business support activities","Computer programming, consultancy and related activities",Activities of head offices; management consultancy activities,1.0,Education,Education
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,0.0290549960261104,"Computer programming, consultancy and related activities",Education,"Travel agency, tour operator and other reservation service and related activities",Information service activities,1.0,Education,Education
"collaborate with other teachers and administrators in the development, evaluation, and revision of preschool programs.",0.0078174877200297,"Other professional, scientific and technical activities","Creative, arts and entertainment activities",Education,"Computer programming, consultancy and related activities",1.0,Education,Education
communicate traffic and crossing rules and other information to students and adults.,0.0027361207020103,Programming and broadcasting activities,Information service activities,Education,Warehousing and support activities for transportation,1.0,Education,Education
communicate with other staff to resolve problems with individual students.,0.0059934072520227,Education,"Office administrative, office support and other business support activities","Computer programming, consultancy and related activities",Other personal service activities,1.0,Education,Education
"design, plan, organize, or direct orientation and training programs for employees or customers.",0.0149835181300569,Employment activities,"Office administrative, office support and other business support activities","Computer programming, consultancy and related activities",Activities of head offices; management consultancy activities,1.0,Education,Education
"develop educational materials and programs for community agencies, local government, and state government.",0.0177196388320673,Education,"Libraries, archives, museums and other cultural activities",Services to buildings and landscape activities,Warehousing and support activities for transportation,1.0,Education,Education
